OBJECTID,PROJECTID,PROJECTNAME,WORKNUMBER,PRIMARYPROGRAMNAME,LOCATIONTYPE,X,Y,SMP_TREETRENCH,SMP_PLANTER,SMP_BUMPOUT,SMP_RAINGARDEN,SMP_BASIN,SMP_INFILTRATIONSTORAGETRENCH,SMP_PERVIOUSPAVING,SMP_SWALE,SMP_WETLAND,SMP_GREENROOF,SMP_OTHER,SMP_STORMWATERTREE,SMP_DRAINAGEWELL,SMP_GREENGUTTER,SMP_BLUEROOF,SMP_DEPAVING,SMP_INFILTRATIONCOLUMNS,DESIGNSTARTDATE,INPCDATE,CONSTRUCTIONCOMPLETEDATE,STATUS,SMPDATA_PHASE,TYPE,FINAL_LINK_COPY
1,168,Tacony Creek Reaches 4/5,40794,Open Space,Parcel,2709249.09252735,261232.59934061,0,0,0,13,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-70% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
2,600,37th & Mt Vernon Playground,50113,Open Space,Parcel,2684172.24101444,240077.05223493,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
3,243,Womrath Park,50046,Open Space,Parcel,2713315.39933498,257155.07144508,0,0,0,1,0,1,0,1,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/womrath_park 
4,303,Clearview and Washington,50078,Vacant Land,Parcel,2689963.93814558,272003.87653421,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/vacantland
5,310,Eadom Parking Lot,50063,Parking,Parcel,2719639.67213115,258076.19740437,0,0,0,6,0,0,0,0,0,0,,0,0,0,0,0,,,,,Closed,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs
6,322,Haverford Triangle,50077,Vacant Land,Parcel,2677588.7287125,239578.88224334,2,0,0,3,0,0,0,1,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/vacantland
7,408,Ross Park,50081,Open Space,Parcel,2697774.38040611,253370.31046391,0,0,0,1,0,1,0,1,0,0,,0,0,0,0,0,,,,,Design-90% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
8,558,Heston Lot ,50077,Vacant Land,Parcel,2674125.61540522,244876.3256015,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/vacantland
9,574,Ralph Brooks Park,50085,Open Space,Parcel,2689772.26119181,228389.06560521,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
10,411,Ferko Playground,20443,Open Space,Parcel,2709913.26038914,259980.43055054,0,0,0,1,0,1,0,3,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
11,151,Weccacoe Playground,50083,Open Space,Parcel,2697269.82337363,231004.87415084,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,5,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
12,170,Shissler Playground,50024,Open Space,Parcel,2702011.96847438,245669.22959167,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks 
13,185,Clark Park Basketball Court,50015,Open Space,Parcel,2680640.9258412,233905.01374547,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Closed,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/clark_park 
14,186,Cliveden Park,50012,Open Space,Parcel,2688649.11360018,272199.42981951,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,,,,,Closed,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/cliveden_park 
15,194,Liberty Lands,50011,Open Space,Parcel,2699446.07456127,241195.24965712,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Closed,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/liberty_lands 
16,279,Harper's Hollow Park,50043,Open Space,Parcel,2695950.69599127,268916.0543929,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
17,280,Kemble Park,50044,Open Space,Parcel,2696533.94458982,268127.04747378,0,0,0,2,0,3,0,1,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks 
18,282,Wister Woods Park,50044,Open Space,Parcel,2694841.26433643,265921.6849608,0,0,0,4,0,0,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks 
19,13,Madison Memorial Park,50022,Open Space,Parcel,2699707.80036313,239378.0621441,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Closed,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
20,416,Hunting Park,50060,Open Space,Parcel,2698363.74359492,259876.37744615,0,0,0,8,0,9,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
21,578,Stenton Park,50104,Open Space,Parcel,2695764.6668291,262528.46763887,1,0,0,3,0,3,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
22,443,Cobbs Creek Park Reaches 6-8,40795,Open Space,Parcel,2669324.49664237,234926.10851522,3,0,4,7,1,11,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/waterways_restoration/projects/marshall_road 
23,445,Southwest Treatment Plant Parking Lot,73068,Facilities,Parcel,2678488.52934087,210718.66232128,0,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs
24,475,Collazo Park,50071,Open Space,Parcel,2702254.50052764,253632.05016622,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Maintained,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
25,479,William Dick Elementary,50075,Schools,Parcel,2690357.17025097,248396.50109904,1,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/projects/william-dick-elementary-school-playground 
26,483,Black Coyle and McBride Playground,50097,Open Space,Parcel,2704429.31362577,247891.34946664,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
27,488,Smith Playground,50155,Open Space,Parcel,2687175.25658752,226309.34027058,1,0,0,1,0,4,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
28,580,Carmella Playground,50084,Open Space,Parcel,2717884.18451531,258342.42591247,0,0,0,5,0,4,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/greenschools 
29,589,Stinger Square,50091,Open Space,Parcel,2684112.15417072,229930.05984534,0,0,0,1,0,2,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
30,608,Kingsessing Recreation Center,50101,Open Space,Parcel,2678587.2377013,232156.21918547,0,0,0,4,0,5,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
31,642,Morris Estates,50078,Open Space,Parcel,2697308.20951385,271981.92578667,2,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
32,1007,Wissinoming Park ,50098,Open Space,Point,2719275.95382103,262894.32635538,0,0,0,4,0,5,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
33,1012,Grays Ferry Neighborhood Disconnection SMP,50102,Open Space,Point,2685263.49190667,228855.64880976,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
34,1015,Hagert Playground,50150,Open Space,Parcel,2703095.34441198,247752.28337935,0,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
35,1077,McIlvain Playground,50122,Open Space,Parcel,2716139.48558552,263128.70938939,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
36,1107,Weinberg Park,50128,Open Space,Parcel,2695805.75456387,224846.65071604,2,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,,,,,Projects Control-Bid Advertised,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
37,1140,Wharton Square Greening Improvement,50134,Open Space,Parcel,2688186.64965688,229835.3452729,1,0,0,4,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
38,1142,PHA/Blumberg Green Streets,50135,Streets,Parcel,2690584.52040091,245560.50851194,0,26,2,0,0,8,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green_streets
39,1146,Buist Park Improvements,50138,Open Space,Parcel,2674370.37966079,223306.97858287,0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
40,1178,Venice Island,70013,Facilities,Parcel,2676894.83049101,261276.2942127,0,20,0,5,0,6,0,0,0,1,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/traditional_infrastructure/projects/venice_island 
41,1163,Nelson Playground and Green Improvements,50145,Open Space,Parcel,2700234.22129965,249698.94961698,0,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Construction-Substantially Complete,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
42,1258,Germantown Station,50164,Facilities,Parcel,2690220.46873477,267079.44418804,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs
43,1262,Spruance School,50126,Streets,Parcel,2718216.20093259,267858.49836619,1,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,Design-Final,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/greenschools
44,1267,Wissinoming Park,50167,Open Space,Parcel,2719343.08962415,263156.3731152,0,0,0,1,0,2,0,0,4,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs
45,1273,East Park Greenways Parcel,50170,Open Space,Point,2686043.77171815,246446.42069806,1,0,0,5,0,7,0,0,0,0,,0,0,0,0,0,,,,,Construction-NTP,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
46,393,"72nd, Buist, 71st, Dicks (Elmwood Park)",50051,Streets,Parcel,2673138.27416147,221456.65265976,3,0,0,2,0,2,0,0,0,0,,0,0,0,0,0,,,,,Closed,Built,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green_streets
47,1292,Drew (Walnut Center) (UCHS Redevelopment),40945,Schools,Parcel,2684402.15693981,237979.42632254,0,0,0,0,0,11,0,0,0,0,,0,0,0,0,0,,,,,Construction-Construction Started,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/greenschools
48,1302,Palmer Park,50187,Open Space,Parcel,2701976.54779818,244572.53293098,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,,,,,Construction-NTP,Designed,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
49,1319,Happy Hollow Package Parks,50196,Open Space,Parcel,2691935.0923129,262105.52572053,2,0,0,2,0,0,0,1,0,0,,0,0,0,0,0,,,,,Design-50% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
50,1333,Wister Playground Package Parks,50202,Open Space,Parcel,2692132.76947026,265661.86563027,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,,,,,Design-90% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
51,1335,229 E LOGAN ST,50201,Vacant Land,Parcel,2693952.99757278,264796.41920449,0,0,0,1,0,1,0,2,0,0,,0,0,0,0,0,,,,,Design-70% Design,Estimated,GSI,http://www.phillywatersheds.org/what_were_doing/green_infrastructure/programs/green-parks
